Provinsi,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw),Produksi Cabai Besar/TW/Teropong (kuintal) (Kw),Produksi Cabai Keriting(kuintal) (Kw),Produksi Jamur Tiram (kuintal) (Kw),Produksi Jamur Merang (kuintal) (Kw),Produksi Jamur Lainnya (kuintal) (Kw)
Aceh,6875.6,132815.5,-,50403.72,2118,1123021.44,136742.42,75861.45,4501,75606.55,165750.38,13741,8941,3001,70,26604.02,78774.5,263,94845.51,102112.3,446,1292.5,1840950.24,22.01,15.76,0.2
Sumatera Utara,200160.06,520953.05,430.6,163510.59,620268.1,1090525.07,255779.61,225715.05,649340.98,1262036.74,272202.37,2450223.43,125116.33,28487,30,822463.66,222227.82,1630.53,893049.63,2345798.56,1987470.92,29735.47,2119003.08,1034.5,-,4.1
Sumatera Barat,684950.84,2328953.97,5989.65,72149.3,531262.87,314907.3,143912.44,78734.45,103752.35,270989.5,177128.35,2576296.6,314842.85,16799.06,-,303135.08,91748,1134.57,1053179.59,1011176.96,279305.25,-,1217572.91,1614.64,-,-
Riau,200.4,400.41,-,74143.04,27.1,66824.69,80163.6,107633.48,0.05,-,103519.1,-,423,17334.25,6,34016.79,184287.17,-,57943.3,1682.65,-,12082.26,67879.4,4456.35,-,605
Jambi,122874,218558.98,-,43567.01,66754.3,421738.75,62983.69,58356.2,114194,1328362,61461.68,876240,79587.5,7341.62,-,364413.46,64938.49,86.82,337685.51,1002814.08,170665,6535,2139753.27,1232.25,-,-
Sumatera Selatan,29176.25,9178.84,-,29129.94,26419,140100.24,86317.41,64396.02,3806,10645,151525.1,32236,21245.52,14105.84,200,31077.94,98296.37,4,187358.55,70687.39,14290,54854.85,190496.56,17829.74,-,4157.2
Bengkulu,40415.98,5776.5,40,2657.07,103066.35,240320.15,129022.19,8076.28,25438.25,21624,136857.4,84316,56606,6156.6,-,83882.28,14334.2,117,204135.4,239649.3,78320,194153.7,158938.57,1078.2,10,-
Lampung,40133.52,12897.8,-,65673.89,42333.1,132556.26,107012.62,127826.85,6963.52,1458,106136.85,56532.6,24880.75,32213.91,-,114146.52,140621.8,0.03,189739.42,156122.91,66279.5,45962.02,194423.53,5200.01,2115.07,782.62
Kepulauan Bangka Belitung,3263.24,548,-,9292.18,2863.29,62495.28,12307.67,12251.44,-,-,28162.77,-,7.74,1527.9,-,10193.84,21088.87,-,19130.88,9449.53,-,-,49164.16,189.26,-,-
Kepulauan Riau,2644.05,286.8,-,41835.68,440.08,14549.82,29388.11,52525.52,-,-,34741.11,-,-,1292.5,-,39267.84,19905.77,-,4147.39,1872.75,70,3431.17,31574.94,435.4,-,-
DKI Jakarta,-,52.73,-,24522.03,-,421.93,0.23,31918.84,471.47,-,-,-,64,7.9,-,19158.71,-,-,528.39,29.97,-,0.32,0.66,-,-,-
Jawa Barat,1567095.63,1994154.01,2618,372798.98,752802.1,1987916.59,666031.83,683886.87,306363.65,2372429.5,1274560.72,2189220.57,910961.36,10804.07,17713.7,1498030.17,48382.8,417185.5,1188275.45,2684310.69,842028,1372168.21,2217330.71,115058.99,20656.69,3310.6
Jawa Tengah,1231901.43,5840345.01,235421.12,161035,330468.15,2663050.62,181843.57,345352.28,264143.3,3572463.19,266579.92,2009492.04,1034344.6,220861.69,72.74,971342.68,462618.1,4296.99,576275.9,1130126.19,1339669.5,501228.63,1673982.71,83741.98,373.9,7091.91
DI Yogyakarta,3301.5,267186.01,-,31826.38,1518.6,250299.13,17371.14,58719,557.22,-,10387.5,5.78,200.05,66638.7,-,33900.58,43666.11,17.65,28246.81,6677.6,-,28075.18,451717.72,18850.58,266.9,120.9
Jawa Timur,1159377.98,5003012.27,3243.08,148956.38,262748.41,6037178.26,312706.03,331999.52,288950.9,2526242.32,621278.68,2101790.6,788540.88,605492.8,46306.75,833208.09,1131047.85,5789.14,941809.95,1268102.3,892135.58,1045356.44,356646.68,128641.99,1729.68,1728.24
Banten,2013.6,13950.76,-,76425.13,436.3,76213.37,40099.3,105529.12,-,-,47599.72,589,1130.5,2576.6,-,86815.48,8245,-,16435.72,4963.71,1350,3213.32,75215.63,1079.17,2,260
Bali,3682.2,399069.5,35.55,8699.93,45294.23,272809.77,43250.92,51727.44,1879.95,2293,56468.74,115768.5,170146.3,2105.77,2271.3,141558.38,190795.92,4514.7,19116.42,77357.78,5434,55445.85,1.37,506.01,2.15,5.25
Nusa Tenggara Barat,38932,1715496.88,116595.7,5988.53,3491.84,905587.08,24231.49,70190.41,8011.5,17771,33593.45,139389.84,3021.6,8305.65,-,48848.41,100240.39,4848,66054.05,265808.99,38205,100704.66,42607.87,1043.39,-,-
Nusa Tenggara Timur,4387.7,95628.96,4185.33,48562.55,36643.09,109437.08,50603.55,112758.93,4420.04,1866.14,48509.39,19653.53,286999.44,4121.75,31.4,96207.61,31915.95,441.4,124919.88,95744.1,9158.42,13566.42,17255.65,0.3,-,-
Kalimantan Barat,8344.78,86,-,32679.45,6334.2,84190.12,47881.58,54930.35,-,-,69771.52,-,1228.86,3543.59,-,37411.36,40809.83,-,50405.06,21925.69,-,28495.42,9458.2,1.03,-,-
Kalimantan Tengah,13493.12,163,-,11753.51,8574.67,56353.25,26984.3,16657.82,161,-,40172.38,-,1447.92,2476.1,30,18649.23,66713.02,-,43459.15,17297.34,-,6136.9,3221.16,779.15,-,-
Kalimantan Selatan,12065.06,3530.65,-,9703.87,21548.7,142592.6,38049.67,9425.55,977.3,-,53999.35,-,-,11686.25,-,9898.94,184999.8,-,69651.76,51082.3,-,78360.04,38834.25,1865.85,-,-
